Hradec Kralove, Czech Republic|2764035.79859|1885998.75333
Cordoba, Spain|1100489.0943|485172.866287
Padua, Italy|2534646.25269|1311689.9086
Wroclaw, Poland|2831724.71567|1999651.34487
Ludwigsburg, Germany|2298897.28278|1687488.42843
Budapest, Hungary|3052109.39958|1627335.32201
San Marino|2598096.46045|1151487.94097
Madrid, Spain|1232271.0742|762789.92425
Colmar, France|2166933.10913|1589344.12029
Luzern, Switzerland|2243462.71724|1476719.78893
Burgas, Bulgaria|3853417.06457|1246902.88407
Portsmouth, England|1560560.22394|1910915.48653
Reykjavik, Iceland|714253.432062|3648304.97839
Bursa, Turkey|4071030.37183|1036481.12035
Slough, England|1600919.19312|1986986.8098
Sale, England|1504070.98685|2210944.56002
Amsterdam, Netherlands|1982908.18748|2067730.24747
Bristol, England|1461300.67591|1993875.96499
Warsaw, Poland|3077328.40891|2179017.85542
Dundee, Scotland|1500428.7801|2552093.56696
Graz, Austria|2788463.23497|1532060.86719
Reading, England|1574500.06103|1983241.07711
Konya, Turkey|4456727.84881|888745.903898
Strasbourg, France|2194187.48129|1647332.62168
Salamanca, Spain|1071499.66787|847631.831253
Lisbon, Portugal|724959.605981|642715.273293
Bordeaux, France|1542432.40544|1238817.30647
Berlin, Germany|2558837.58494|2118411.89851
Tallinn, Estonia|3092616.59364|3020072.39514
Lincoln, England|1620213.08932|2178590.75823
York, England|1591290.24721|2262329.11962
Dublin, Ireland|1242577.51902|2238250.18285
Prato, Italy|2487911.38752|1133641.36092
Marseille, France|2020451.33828|1046288.59383
Trondheim, Norway|2258182.95084|3309643.28971
Lille, France|1852876.81664|1874620.51057
Leicester, England|1574832.07275|2115545.48216
Bucharest, Romania|3678965.60988|1426493.1993
Pula, Croatia|2698021.46285|1268307.63487
Toulouse, France|1697694.46671|1088417.23117
Zurich, Switzerland|2259687.2614|1513365.38262
Cardiff, Wales|1421337.3579|2001632.08044
Rotterdam, Netherlands|1954625.09436|2017944.85307
Scarborough, England|1638167.7136|2294837.85683
Seville, Spain|981956.718101|443735.470195
Nancy, France|2077575.63629|1656321.75726
Erfurt, Germany|2414170.19146|1930053.81979
Ludwigshafen, Germany|2240364.84501|1749893.97164
Andorra la Vella, Andorra|1698021.99085|963458.271464
Woking, England|1601813.63733|1965480.29577
Turku, Finland|2927716.54178|3090753.51163
Rugby, England|1563313.00905|2086945.041
Rome, Italy|2637214.79263|915825.099579
Verona, Italy|2464652.18767|1308863.72941
Palermo, Italy|2747013.13606|495422.903799
Venice, Italy|2570763.73699|1318647.43293
Aachen, Germany|2066571.60354|1889641.09448
London, England|1633269.1513|1984048.08186
Moscow, Russia|3969290.99944|2935001.85758
Istanbul, Turkey|4031422.72875|1124683.79652
Maastricht, Netherlands|2039101.06952|1898425.56198
Bratislava, Slovakia|2898589.03767|1671711.12879
Cannes, France|2155506.14162|1077517.28386
Falkirk, Scotland|1444160.64406|2507452.55514
Vicenza, Italy|2507433.85102|1325160.71985
Cork, Ireland|1065515.49478|2105148.77918
Plovdiv, Bulgaria|3644111.6926|1141657.20074
Edinburgh, Scotland|1480213.32136|2497287.82285
Jerez de la Frontera, Spain|956781.486144|364406.79382
Ljubljana, Slovenia|2732928.65084|1407707.17191
Galway, Ireland|1057632.52767|2264287.93527
Prague, Czech Republic|2665521.62107|1857704.33181
Munich, Germany|2482544.53836|1616090.09436
Turin, Italy|2204383.99954|1251397.32606
Hamburg, Germany|2321714.27672|2210397.36944
Ancona, Italy|2688582.39322|1123954.46186
Siena, Italy|2512650.09813|1071674.29633
